brand,category,condition,description,posted,price,seller_name,shipping,sold
Disney,"Other,Books,Children's books,Disney Children's Books",New,"Vintage Disney read along cassettes, books and carrying bag
BRAND NEW! 
• Double sided tapes
• carrying case 
•  5 books :
Includes these stories in 5 books and on 3 tapes. 
- Disney books: The jungle book, The Aristocats, Tarzan, The fox and the Hou",12/05/18,$15,BikiniTime,$8.00 | 2+ days | from California,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",New,"Vintage Disney read along cassettes, books and carrying bag
BRAND NEW! 
• Double sided tapes
• carrying case 
•  5 books :
Includes these stories in 5 books and on 3 tapes. 
- Disney books: The jungle book, The Aristocats, Tarzan, The fox and the Hou",12/05/18,$15,BikiniTime,$8.00 | 2+ days | from California,SOLD
Pokemon,"Other,Books,Children's books,Pokemon Children's Books",Good,"No flaws
Pokémon handbook for over 700 Pokémon",12/07/18,$6,tobys,$4.25 | 3+ days | from Georgia,SOLD
Phoenix USA,"Other,Books,Children's books,Phoenix USA Children's Books",New,"Brand New 
PJ Masks electronic 8-book library look & find and play-a-sound  reader",12/04/18,$18,Peggy,$6.50 | 3+ days | from Washington,SOLD
Dr. Seuss,"Other,Books,Children's books,Dr. Seuss Children's Books",New,Book and Plush New /Tags How The Grinch Stole Christmas Smoke free home. Super soft and Adorable. Mint Brand new condition. Great gift for this Grinchy Season,12/07/18,$20,Lisa Marie Morrone,$4.25 | 3+ days | from New York,SOLD
Hallmark,"Other,Books,Children's books,Hallmark Children's Books",New,Brand new never used. Hallmark the night before Christmas recordable storybook,12/10/18,$22,Brianne Perez,Free | from Texas,SOLD
Williams Sonoma,"Other,Books,Children's books,Williams Sonoma Children's Books",Good,"Two cookbooks for kids:
Williams Sanoma “The Kid’s Cookbook” 
“Fix It and Forget It Kids’ Cookbook”
Great gift for your little aspiring chef!
Gently used condition",12/10/18,$11,jkgauctions,Free | 3+ days | from Mississippi,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"The Night Fairies Books 1 thru 7

Ava the Sunset Fairy
Lexi the Firefly Fairy
Zara the Starlight Fairy
Morgan the Midnight Fairy
Nia the Night Owl Fairy
Anna the Moonbeam Fairy
Sabrina the Sweet Dreams Fairy

My daughter loves these books but she has",12/10/18,$20,Shop ❤️ K.S.S,Free | 3+ days | from New Mexico,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",Fair,2007 Disney Cardboard children’s books in Spanish. Really cute but some are pretty worn. The green one has got some bite marks I tried to photograph them as well as I could. I cleaned them off throughly though! They would be really cute as decor in a,12/11/18,$11,ChevyNovacaine,Free | 3+ days | from Colorado,SOLD
ABRAMS,"Other,Books,Children's books,ABRAMS Children's Books",Like new,"Diary of a wimpy kid book 13 The Meltdown 
Read 1-3 times only in EUC 
Great book for any boy or girl of all ages 
Bundles and offers are always welcome 
HAPPY SHOPPING",12/11/18,$6,Cute Kitty Boutique,$4.25 | 3+ days | from Delaware,SOLD
Disney Princess,"Other,Books,Children's books,Disney Princess Children's Books",Good,Lot of 8 Disney Princess Books in good condition,12/17/18,$23,Jennifer White,Free | 3+ days | from Arizona,SOLD
The Unbranded Brand,"Other,Books,Children's books,The Unbranded Brand Children's Books",Good,"Like new, I have a whole lot of these cloth books I'm selling. They are great for younger children. They cant get hurt or rip pages",12/17/18,$10,i_sell_everything,$4.25 | 3+ days | from New York,SOLD
Nickelodeon,"Other,Books,Children's books,Nickelodeon Children's Books",New,"Paw Patrol Electronic me reader with a 8 book library set. Ages 18 months +
Brand new in box",12/13/18,$36,funthings,Free | 3+ days | from Pennsylvania,SOLD
HarperCollins Publishers,"Other,Books,Children's books,HarperCollins Publishers Children's Books",New,LOT OF 9 NEW HARDBACK WARRIORS CAT BOOKS BY ERIN HUNTER. THESE HAS JUST BEEN SITTING ON THE SHELF UNREAD.,12/21/18,$26,Ran,$9.80 | 3+ days | from Virginia,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"Comes with 8 books, although price is only for 7 as 1 is a repetitive one I’m throwing in for free. There all in good used condition. Last pic shows the only one with minor writing 

Media mail",12/23/18,$10,Nlopez04,Free | from California,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",Good,Two Spanish Disney books hardcover,12/28/18,$10,MollySparkles,Free | from Colorado,SOLD
Nick Jr.,"Other,Books,Children's books,Nick Jr. Children's Books",Good,"5 books, 2 toys
Everything works 
No writing or tears",12/30/18,$23,Marsha Raymond,Free | 2+ days | from Ohio,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"Lot of 20 magic tree house books 
Good condition",12/30/18,$20,madvintageappeal,Free | 3+ days | from New Hampshire,SOLD
American Girl,"Other,Books,Children's books,American Girl Children's Books",New,Meet kit book american girl new,01/01/19,$10,gsb22,Free | 3+ days | from Pennsylvania,SOLD
Elf on the Shelf,"Other,Books,Children's books,Elf on the Shelf Children's Books",Good,The elf on the shelf book a Christmas tradition pet free home,12/31/18,$6,albanese74,Free | from Massachusetts,SOLD
Vintage,"Other,Books,Children's books,Vintage Children's Books",Good,"6 hardcover Muppet babies books 
Very good condition 
Smoke free,  no writing or tears",01/01/19,$15,Marsha Raymond,Free | from Ohio,SOLD
Star Wars,"Other,Books,Children's books,Star Wars Children's Books",Good,My son had these and loved them. Gentle use and great condition. Comes with reader for young readers to follow along.,12/31/18,$15,lolo331,Free | 3+ days | from Colorado,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"BOB book set 1.  
Only missing 1 book which is # 7. 
There are 10 total that I am including in the box",01/02/19,$10,Tball5,$4.25 | 3+ days | from Wisconsin,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,All good condition. Normal wear and tear,01/03/19,$20,Rodieri,Free | 3+ days | from Wisconsin,SOLD
Elf on the Shelf,"Other,Books,Children's books,Elf on the Shelf Children's Books",Good,The Elf On The Shelf Hardcover Book,01/03/19,$8,twoarrowsbookclub,Free | from California,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",Good,"Great overall condition and selection of titles. Total of 10 hardcovers included

Monsters inc
Incredibles 
Cars
101 dalmations
Finding Nemo
Toy story 3
Tangled 
Up
Peter pan
Mickey mouse clubhouse",01/02/19,$18,Gemini's Bookshelf,Free | from New York,SOLD
Dr. Seuss,"Other,Books,Children's books,Dr. Seuss Children's Books",Like new,"DR SUESS BOOKS
- 5 classic books including: The Cat in the Hat Comes Back, The Cat in the Hat, Green Eggs and Ham, One Fish Two Fish Red Fish Blue Fish, and The Grinch Meets his Max!
- In EXCELLENT condition! Grinch Meets His Max has a small crease o",01/06/19,$15,shop_til_u_drop365,$6.50 | 3+ days | from Ohio,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"Junie B Jones Paperback Chapter Books
Set of 6",01/09/19,$11,twoarrowsbookclub,Free | from California,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",New,Diary of a wimpy kid book 3,01/08/19,$5,lizsellsstuff,$4.25 | 3+ days | from Texas,SOLD
HarperCollins Publishers,"Other,Books,Children's books,HarperCollins Publishers Children's Books",Good,"Not a full set. Hardcover great condition 
Includes #’s 1,5,6,8,10,11,12
Lemony Snicket Books",01/09/19,$28,Tootsie's Closet,Free | 2+ days | from Massachusetts,SOLD
HarperCollins Publishers,"Other,Books,Children's books,HarperCollins Publishers Children's Books",Like new,"Excellent condition- like new . These books have no flaws and no signs of wear 
This lot includes 7 I can read beginning reading level 1 book
Paddington and the magic trick
Ducks in a row
Digger the dinosaur 
Chicken in mittens
Biscuit meets the clas",01/09/19,$6,CHall,$4.25 | 3+ days | from West Virginia,SOLD
Viking,"Other,Books,Children's books,Viking Children's Books",Good,"Llama Llama 3 Book Bundle
By Anna Dewdney 
1.) Wakey-Wake
2.) Nighty-Night
3.) Trick or Treat 

Books are all in VGUC. 

Media Mail Shipping.",01/11/19,$11,Chamberlain Family,Free | from Connecticut,SOLD
Eric Carle,"Other,Books,Children's books,Eric Carle Children's Books",Like new,"••World of Eric Carle, My First Smart Pad Electronic Activity Pad 
••NO BOOKS INCLUDED, only tablet
••Tablet is in great condition and has been tested and works great
••Working batteries included, new batteries recommended for regular use 
••Includes",01/11/19,$12,Crazy Toy Lady,Free | 3+ days | from Arizona,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Fair,"Rl Stine goosebump book Lot. 36 books in all and all are different. That’s more then half of the set. Some books may be discolored , have writing on the cover, have creases or bends, or have a rip on cover. All are readable. Questions please ask. Mos",01/12/19,$45,AMS,$6.50 | 3+ days | from Michigan,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",Good,"Lot of four Disney Winnie the Pooh hardcover and board books. They have some wear to the edges and corners. They include:
-Who Could It Be, Pooh? (Peekaboo lift flap book with plush Pooh on top).
-Pooh Blocks (Has three wooden spinable blocks built i",01/14/19,$18,Anriya,$9.80 | 3+ days | from Wisconsin,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",Good,"Excellent condition 
No writing or tears,  smoke free 
These are big, thick books",01/12/19,$16,Marsha Raymond,Free | from Ohio,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Like new,Like new Batman's guide to being cool discover your inner cool with help from me Batman the coolest superhero in the universe. Lego by Scholastic sorry no free shipping,01/15/19,$6,GRIS ♡♡♡,$4.25 | 3+ days | from North Carolina,SOLD
Dr. Seuss,"Other,Books,Children's books,Dr. Seuss Children's Books",Good,9 dr Seuss books in good condition,01/17/19,$10,Brit,$8.00 | 3+ days | from South Carolina,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"Books are in excellent condition!
Fly guy vs flyswatter and fly guy presents sharks has a flaw which is pictured
One of the books is hardcover (fly guy’s ninja Christmas)",01/12/19,$16,annaurie,$4.25 | 3+ days | from North Carolina,SOLD
HarperCollins Publishers,"Other,Books,Children's books,HarperCollins Publishers Children's Books",Like new,five minute Pete the cat stories new,01/16/19,$10,Kathy King,Free | 2+ days | from Iowa,SOLD
Hallmark,"Other,Books,Children's books,Hallmark Children's Books",Like new,Hallmark That's What Grandmas Do! Recordable Storybook,01/17/19,$11,Mari,$4.25 | 3+ days | from Washington,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",Good,"10 Disney The Never Girls Chapter Books
Hardcover book Volume 1 books 1-3
Hardcover book Volume 2 books 4-6
Paper back #8
Paperback #9
Paperback #10
Paperback #13

Bundle and save 
New listings added daily",01/17/19,$10,Tina Reynolds,$6.50 | 3+ days | from Texas,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",Good,"Very beautiful book with all the stories written by Beatrix Potter. Early 1900s stories.

Check back every weekend if you are interested in vintage 80s memorabilia and collectibles. I will be listing my collections of original, and most are MINT cond",01/16/19,$10,Gismo,Free | 2+ days | from California,SOLD
Simon & Schuster,"Other,Books,Children's books,Simon & Schuster Children's Books",Good,Lot of 7 different cupcake diaries series books by Coco Simon for girls mid to upper elementary school.  Gently preowned without tears or writing.,01/20/19,$9,RetroDecor&More,Free | from California,SOLD
Sesame Street,"Other,Books,Children's books,Sesame Street Children's Books",New,Brand new in package. Potty Time with Elmo. Potty training sound book,01/19/19,$9,Samantha Leach,Free | from North Carolina,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"YA 90s books Bundle (one is not from the 90s)

Christopher Pike 
Witch
See You Later
Chain Letter 2

LJ Smith
The Secret Circle The Captive
Vampire Diaries The Fury
The Forbidden Game The Hunger

Rl stine 
Graphix Presents: Goosebumps Slappy’s Tales ",01/21/19,$15,Scottie 2 Hottie,Free | from Minnesota,SOLD
American Girl,"Other,Books,Children's books,American Girl Children's Books",Like new,Set of 3 American girl doll Grace books. Got for daughter and she never read them.,01/20/19,$6,angel80,$6.50 | 3+ days | from Maine,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",Like new,Items still in protective back.  Ad pictured,01/25/19,$12,HHTreasurechest2,Free | 3+ days | from Ohio,SOLD
Simon & Schuster,"Other,Books,Children's books,Simon & Schuster Children's Books",Like new,"9 paperback book bundle featuring: 

-five books from Junie B. Jones series 
-three books from Judy Moody
-one Heidi Heckelbeck
In excellent condition.",01/27/19,$12,magilu,$6.50 | 3+ days | from Florida,SOLD
Paw Patrol,"Other,Books,Children's books,Paw Patrol Children's Books",New,"Paw Patrol Electronic Reader & 8-Book Library 18+ Months Nickelodeon Read Aloud
Condition: New",01/28/19,$23,minigoodshop,Free | 3+ days | from California,SOLD
Touchstone Disney,"Other,Books,Children's books,Touchstone Disney Children's Books",Good,I Am Pusheen the Cat Book. Paperback.,01/27/19,$6,Marisa,Free | from Texas,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",Good,"Disney Fairies.
Tinker Bell, Look and Find.
Hardcover.
18 pages.
2009
Please look at the pictures carefully. As shown in the pictures, the back cover shows some wear, on the top right corner.",01/27/19,$5,PorceLen,Free | from Florida,SOLD
The Unbranded Brand,"Other,Books,Children's books,The Unbranded Brand Children's Books",Good,Good condition.  6 books included.  5 dollars plus tax each book.,01/29/19,$8,Casa Cris,$4.25 | 3+ days | from New York,SOLD
Osborne,"Other,Books,Children's books,Osborne Children's Books",New,New usborne spiral bound the complete book of art ideas.,01/24/19,$13,malia2430,$8.00 | 2+ days | from California,SOLD
American Girl,"Other,Books,Children's books,American Girl Children's Books",Good,Four American girl doll books,01/30/19,$6,tiaraswart,$6.50 | 3+ days | from Minnesota,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Like new,"5 children’s book soft cover scholastic
 I can read level 2 books

- Flat Stanley and the very big cookie level 2 I can read 
- I can read level 2 flat Stanley show & tell flat Stanley 
- Pete the cats got class 
- minion who’s the boss? Passport to ",01/30/19,$7,AmTamTreasures,Free | 3+ days | from New York,SOLD
Random House,"Other,Books,Children's books,Random House Children's Books",Good,Hardcover copy book of The White Fox Chronicles by Gary Paulsen,01/31/19,$6,LVel7623,Free | 3+ days | from New York,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Like new,"Bundle of construction themed books.  My little boy loves these books.  They are in awesome condition but he removed the stickers from the Pete the Cat book.  No bends, marks or tears in these books.",02/01/19,$5,Mtate2015,$4.25 | 3+ days | from North Carolina,SOLD
American Girl,"Other,Books,Children's books,American Girl Children's Books",Good,"American Girl Guide Books For Girls 
ITEM IS IN VERY GOOD USED CONDITION 
PET FREE & SMOKE FREE HOME",01/31/19,$9,AspynAvenue,Free | from Arizona,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",Like new,"Demigods & Magicians: Percy and Annabeth Meet the Kanes By Rick Riordan.  Magic, monsters, and mayhem abound when Percy Jackson and Annabeth Chase meet Carter and Sadie Kane for the first time. Weird creatures are appearing in unexpected places, and ",02/02/19,$6,SunnyLibrarian,Free | from Minnesota,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,6 little old lady books.  Kids love these books,02/02/19,$12,KOALA81,Free | 3+ days | from Louisiana,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",Good,Vintage 1986 Walt Disney's Three Little Pigs in great condition!,02/02/19,$10,Kcasey46,Free | from Illinois,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"First 3 books in the Chasing Vermeer series
- Chasing Vermeer (book 1)
- The Wright 3 (book 2)
- The Calder Game (book 3)
Hardcover books",01/31/19,$13,Tamsalyer,Free | from California,SOLD
Emily,"Other,Books,Children's books,Emily Children's Books",New,Brand new.  Never used.  Have two,02/05/19,$40,Ryan901,$4.25 | 3+ days | from Pennsylvania,SOLD
Random House,"Other,Books,Children's books,Random House Children's Books",Good,"Set of 11 books. All in good used condition but 2 have some creases on the cover. Some are like new- One book has stickers which haven’t been touched!

Ships via media mail",02/03/19,$13,StaTa,Free | from New Jersey,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",Like new,"Excellent conditon bundle of frozen books. 

5 early readers level 2 for first and second graders generally
2 golden book stories
***Look n find  has been sold separately 
Paperback story a sister like me",02/03/19,$11,Gemini's Bookshelf,Free | from New York,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Like new,Dog tags prisoners of war and dog tags divided we fall. Barely used. New condition,02/02/19,$5,Schmidt74,$4.25 | 3+ days | from Illinois,SOLD
Custom Variety Pack,"Other,Books,Children's books,Custom Variety Pack Children's Books",Good,"Bundle of 5 girl leapfrog tag books . Olivia brave, tangled, tinkerbell , and fancy nancy.",02/05/19,$15,Gemini's Bookshelf,Free | from New York,SOLD
Tim McGraw,"Other,Books,Children's books,Tim McGraw Children's Books",New,"Tim McGraw’s children books- Hardbacks
Love Your Heart 
My Little Girl",02/08/19,$20,Wendy,$4.25 | 3+ days | from North Carolina,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",Like new,"5 minute Pete the car stories
5 minute Christmas stories
5 minute snuggle stories
Paw patrol pup saves a basketball game 
And
The incredibles 2 junior novel
Bundle and save 
New listings added daily",02/08/19,$18,Tina Reynolds,$6.50 | 3+ days | from Texas,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",New,"Scholastic My Book About Me 32 Page Booklet Grades K-2 
Lot Of 18 Blank Books- 3 packs of 6
Condition is Brand New. 
Retails for $6 per book
Thanks for looking and please see my other listings",02/06/19,$21,Robin Adler,$4.25 | 3+ days | from Florida,SOLD
Random House,"Other,Books,Children's books,Random House Children's Books",Good,"A set of 10 hardback Dr Seuss books from my large selection of Random House books. All books will be in great condition. Very light wear on some due to age as books range from vintage to current prints. 
You may message me for specific request after ",02/09/19,$24,Becca's Bookshelf,Free | from Oregon,SOLD
ABRAMS,"Other,Books,Children's books,ABRAMS Children's Books",Good,"Set of 13 Diary of a Wimpy Kid Books 

Books 1 - 12 missing book 7

Do-it-yourself and Movie Diary

Hardback except for 2

Good condition with some wear to the covers
No missing or torn pages 

Ships USPS Media Mail which can be a little slow. If you",02/10/19,$55,closet_nexus,Free | from North Carolina,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Like new,"Scholastic I spy book paid 8.99 at school book fair
Osborne 2001 Monster things to spot. 9.99 school hook fair
Finding Nemo seek and find 15.99 at store
Shrek 2 seek and find 15.99 at store.
41.00 retail",02/11/19,$10,Margo Townsend,$8.00 | 2+ days | from South Dakota,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,Pony Pals series 1-38 and Pony Pals Super Special series 1-6.,02/07/19,$125,risingtiger10,Free | 2+ days | from Michigan,SOLD
Sesame Street,"Other,Books,Children's books,Sesame Street Children's Books",Good,"Sesame Street Little Golden Books 
Set of 6",02/12/19,$12,twoarrowsbookclub,Free | from California,SOLD
National Geographic,"Other,Books,Children's books,National Geographic Children's Books",Good,8 books 3 are hardcover and 5 are paperback some are hardcover please check the photos for the exact item you will receive all pages are intact with no markings I will ship them media mail please check my other stuff thank you,02/15/19,$35,Prime Collectibles,Free | from Virginia,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",New,"Three Paperback Books
Author: W. Bruce Cameron
Each: A dog's purpose novel 
Scholastic Books Grades 4-6 
Guided Reading Level: GR Level U
DRA Level: 40-50
ACR Level: 4.2
Each book around 208 pages
Ships fast from smoke and pet free home. Bundle and S",02/09/19,$10,Jaimerslynn,$4.25 | 3+ days | from Illinois,SOLD
Dr. Seuss,"Other,Books,Children's books,Dr. Seuss Children's Books",Good,In great condition. One mark that I noticed see photo.,02/16/19,$6,Ruffledduck,Free | from Minnesota,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,35 children’s chapter books . Tons of great books! These would be best for 3rd grade - 5th grade !,02/16/19,$13,jojocloset_a,$6.50 | 3+ days | from Mississippi,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"18 The adventures of the bailey school kids books
All in good used condition 
No names or writing
Super special has a little ripple in the back",02/18/19,$19,ashkicka,$6.50 | 3+ days | from Michigan,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Like new,I’m not sure if my son even read these but now he’s 12. See titles pictured:),02/17/19,$25,Ang Marie,Free | 3+ days | from Alabama,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",Good,"All Books are in Great condition with no damage, writing, tears or stains. 
Walt Disney's Story Of: 
1.  1 DC Snow White and the Seven Dwarfs 
2. 2 DC Pinocchio - TAPE 
3. 5 DC Robin Hood 
4. 7 DC  Bambi - TAPE
5. 14DC The Rescuers with Songs from th",02/20/19,$25,Renee Sutton,$9.80 | 3+ days | from Michigan,SOLD
Random House,"Other,Books,Children's books,Random House Children's Books",Good,"6 Dr. Seuss the cat in the hat learning library books
Good to like new condition
Name written in one",02/19/19,$15,ashkicka,$6.50 | 3+ days | from Michigan,SOLD
HarperCollins Publishers,"Other,Books,Children's books,HarperCollins Publishers Children's Books",Good,"Shel Silverstein Book Bundle Of 5
Overall good conditions

Falling up
Where the sidewalk needs
A light in the attic
Everything on it (corner of the dust jacket has wear shown in picture book itself is fine)
The giving tree",02/19/19,$30,ashkicka,$9.80 | 3+ days | from Michigan,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,1 who was Martin Luther? And who was Statue of Liberty book,02/17/19,$5,Funko4Sale,Free | 3+ days | from New York,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Like new,Set of 5 popular children’s books,02/17/19,$14,MakeupAddict,Free | 2+ days | from Illinois,SOLD
Random House,"Other,Books,Children's books,Random House Children's Books",Good,"Dr. Seuss You’re Only Old Once 
Hardcover",02/21/19,$8,twoarrowsbookclub,Free | from California,SOLD
HarperCollins Publishers,"Other,Books,Children's books,HarperCollins Publishers Children's Books",Good,"GUC Pete the Cat I love my White Shoes
Hardcover book 
Created and illustrated by James Dean
Story by Eric Litwin",02/24/19,$9,C.P.,Free | from Nevada,SOLD
American Girl,"Other,Books,Children's books,American Girl Children's Books",Good,"American girl Addy Book Set 1-6
overall good may show minor wear",02/25/19,$23,ashkicka,$6.50 | 3+ days | from Michigan,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Like new,"Includes 7 children’s picture books (4 hardcover, 3 paperback):

-Goodnight, Gorilla
-Goodnight Moon
-Swimmy
-My Five Senses
-Blueberries for Sal
-Ferdinand
-A Rainbow of My Own

All in good (most in excellent) used condition.  (First three titles ar",02/24/19,$7,2dangerously,$8.00 | 2+ days | from Kentucky,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"Includes 9 multicultural children’s picture books (1 hardcover, 8 paperback):

-Coyote and the Grasshoppers:  A 
 Pomo Legend
-Hush!  A Thai Lullaby
-Baya, Baya, Lulla-by-a (Indian 
 Lullaby)
-Always Room for One More (Scottish 
 folktale)
-The Badge",02/25/19,$7,2dangerously,$8.00 | 2+ days | from Kentucky,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",New,"Includes 6 children’s picture books.  Three are NEW, three in excellent used condition.  One hardcover. 

Perfect for preschool, daycare, homeschooling, etc.",02/25/19,$7,2dangerously,$8.00 | 2+ days | from Kentucky,SOLD
Rainbow Collection,"Other,Books,Children's books,Rainbow Collection Children's Books",Good,"2 volumes of books. Volume 1 (books 1-7) are the color fairies.  Volume 2 (books 8-14) are the weather fairies. The books are in great condition, but the boxes are worn. I am also including a special edition “Juliet, the Valentine Fairy” for free as ",02/27/19,$6,Jrash,$11.50 | 3+ days | from Massachusetts,SOLD
HarperCollins Publishers,"Other,Books,Children's books,HarperCollins Publishers Children's Books",New,I can Read! 16-Book Box Set. Includes my first level through level 2. Retails $60. Comes from a smoke and pet free home.,02/27/19,$17,wildandwonderful,$11.50 | 3+ days | from West Virginia,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"The Babysitter’s Club Books #50-#56 Lot Of seven Books. By Ann M. Martin, Vintage 1992, Apple Paperbacks. Books are in good condition. Pages are clean and unmarked and spines have not been cracked. There is some age discoloration on inside cover. 

#",03/01/19,$28,SD.Bibliophile,Free | from Virginia,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",Like new,My daughter purchased these at her school book fair and never looked at them.,03/01/19,$6,MissysMinionsCloset,Free | 3+ days | from Kansas,SOLD
Dr. Seuss,"Other,Books,Children's books,Dr. Seuss Children's Books",Good,The books are used but are in excellent to good condition ...,03/03/19,$30,Iola Wilson,Free | from New Jersey,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"10 books. Great starter for beginning chapter book readers. 

3 Nate the great
1 infamous ratso
1 bad kitty- hardcover
2 Horrible Harry
1 My Weird School
2 Frog and Toad",03/04/19,$12,Jami Dash Marks,Free | from New Jersey,SOLD
SpongeBob Squarepants,"Other,Books,Children's books,SpongeBob Squarepants Children's Books",Good,"Good condition children’s Books.

Three Spongebob Squarepants books -holographic stickers still intact and included!

Free trackable shipping included! 

Bundle with any of my other children’s books for a discounted price!",03/04/19,$9,Nailah Ricco,Free | from New York,SOLD
American Girl,"Other,Books,Children's books,American Girl Children's Books",New,"This Sing includes a Wellie wisher’s little ladybug brush made by American girl age 5 and up. Second, is the American girl Wellie wisher’s book called, The Riddle Of The Robin”. Also, the book,” Ashlyn’s Unsurprise Party!”. please take a look at the ",03/04/19,$14,Cutie Pie,$5.25 | 3+ days | from Texas,SOLD
Tonka,"Other,Books,Children's books,Tonka Children's Books",New,Vintage 1985 Pound Puppies Pet Project Book and cassette tape.  Sealed never opened.  Plastic wrapping is pretty beat up. Cardboard is slightly bent up.,03/02/19,$10,woolmararities,Free | from Ohio,SOLD
Disney Pixar,"Other,Books,Children's books,Disney Pixar Children's Books",New,"Solving puzzles and having fun is never a problem when you are surrounded by some of your favorite Disney Pixar characters. Join Lightening McQueen, Buzz Lightyear, Dory, and more of your friends with this Spot the Difference activity book which incl",03/02/19,$7,tinytab,Free | from Pennsylvania,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",New,"10 miniature books, measured at 3"". 
Brand new never used. Bundle to save on shipping!",03/05/19,$9,mommabeartwocubs,$4.25 | 2+ days | from California,SOLD
Dr. Seuss,"Other,Books,Children's books,Dr. Seuss Children's Books",Like new,Brand new never used children’s book. The Dr. Seuss pack and the I Will Always Love You books are sold. There are a total of ten books. I can break the set apart just message me which ones you would like and I’ll make a separate listing.,03/05/19,$26,Mlkidd,Free | 3+ days | from Texas,SOLD
ABRAMS,"Other,Books,Children's books,ABRAMS Children's Books",Good,"The diary of a wimpy kid book series 1-9 by Jeff Kinney. Please look at pics closely to read description of each title. All are hardcover except book 9, The Long Haul,  and the bonus wimpy kid movie diary. All in good Used condition.",03/08/19,$23,Hippie Queen,Free | from California,SOLD
Thomas & Friends,"Other,Books,Children's books,Thomas & Friends Children's Books",Good,"A crack in the track, Blue train, green train, Go train go, Stop train stop",03/10/19,$12,Nita,Free | from Washington,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"Harry Potter and the sorcerer‘s stone
Harry Potter and the chamber of secrets
Soft cover books in good condition",03/11/19,$14,JACKPOT!,Free | from New York,SOLD
Random House,"Other,Books,Children's books,Random House Children's Books",Good,"16 Magic Treehouse Books
3 Hardbacks- 13 paperbacks 
Some are new and some are gently used 
Over $90 worth of books",03/10/19,$45,Wendy,Free | from North Carolina,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",New,"FREE PRIORITY SHIPPING!

New Disney Villain's Storybook Library! 
Includes; 6 hardcover books, poster, 30 stickers and Maleficent keychain! 

Follow the tales of The Little Mermaid, 101 Dalmatians, Peter Pan, Snow White, Sleeping Beauty, and Aladdin ",03/11/19,$15,Lingo's Attic,Free | from Florida,SOLD
